"m221(4,1)","m221(4,1)",21,13,vLvPwvzLzPAQQMQacgdgopmsnonmqqrtsttuubbgbbtdbtqplvpcbkbbsdw,nLLvLMAAQkcdiiikghjlmlmmhsrsvxcnjhhwvf,1
"m304(4,1)","m304(4,1)",13,13,nvLvAALQQkchigfkmlmjmklljpaaebiaabtshh,nLvLLAAPQkbeejihjiklmlmmlmtwvswgmiivvs,1
"m249(-4,1)","m249(-4,1)",13,13,nLLLvLQMQkcdgkhijkkljmmmhshibsauiqucfb,nLLLvLAQQkcdgkhlkmkjljmmhshibludixtugc,1
"m162(-5,1)","m162(-5,1)",14,14,oLLLLLwAQQccdghhkmjlnjnnmmhshrvaheuqjrbck,oLLLLLzQPQccdgihimjmlknnlnhshcvshpiwwcvnr,1
"m262(-3,2)","m262(-3,2)",13,13,nLvLAMvQQkcegfihmjlmllkmhlahvwhuppcfnr,nLLLvMPQMkbcgijhkjikllmmtsmjaopqfuqshr,1
"m247(-3,2)","m247(-3,2)",13,13,nLLLvLQQAkbcgjhikjljlkmmtsmabwddipetxn,nLLLLPwPQkbcghghikjmklmmtsmwwwoptrkvkc,1
"m247(-2,3)","m247(-2,3)",13,13,nLLLLMzPQkccgihghjllkmmmlnicfwndljfjbs,nLLLwPwAQkccegihgjkmlmlmlnpepfgagdvlwq,1
"m199(5,1)","m199(5,1)",14,14,oLLLLzPAAQcbeffhjhljkmmnnnxxixcxkaxifvaqi,oLLLMvMAPQccdgfgkjilnnmmnmhshhghhualaqxei,1
"m161(1,4)","m161(1,4)",14,14,oLLLLLQPMMcbeffiijhklklmnnxxhxksxbxarcdhj,oLLLvLLQQQccdghjkknmnkmllnhshvappmmlpnkkf,1
"m234(3,2)","m234(3,2)",13,13,nLLLLPPAPkcdgifhkjjkmmmlhshksvdppdojnj,nLLvLAMQPkcdjifhihkkllmmhskssggneapkrj,1
"m178(1,4)","m178(1,4)",14,14,oLvALLPPQPcbefghkjmlljmnmndadlwqqtqpqsqcw,oLLLwAwwQQccdgffhiklmknnnmhshegfaanefhths,1
"m190(4,3)","m190(4,3)",14,13,oLLLvLAQQMcacfljlihikkmmnnnkgtaamwwrsjsqs,nLLLzLQzQkcdgegjijkkmllmhshdchapanhwks,1
"m195(4,1)","m195(4,1)",16,15,qLALvLMvQPQkbcbekhijlmpopnonphhjsqvsqgjqwakkkd,pLLLLLzQzQQcdghjkmjmknloonohshweuhpqicffsfj,1
"m390(-1,2)","m390(-1,2)",13,13,nvLLLLQPQkddjkhljikmkmlmrwlnbnfgnisdbu,nvLLLAAPQkegihjhglmlmkmlkxmmdgkxptmwtp,1
"m188(1,4)","m188(1,4)",14,13,oLLvMAPMMMccdhgfijkkljlmnnlkxgkruiixiviqn,nLvAwAMPAkcfeeighjjkklmmuquqobfmemroqn,1
"m235(-4,1)","m235(-4,1)",14,15,oLLLvLPMQQcacflhjlnmljmnnmnkgtaxqxgvbcxav,pLLvALwPAQQbeghjijkmkomnonohhhaacqqmahsslbx,1
